track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
7EkWXAI1wn8Ii883ecd9xr,Surf Curse,Freaks,Freaks,86,147062,FALSE,0.345,0.941,9,-9.918,1,0.0466,3.84e-5,0.633,0.0511,0.407,179.626,4,punk
2tznHmp70DxMyr2XhWLOW0,Cage The Elephant,Melophobia,Cigarette Daydreams,79,208760,FALSE,0.636,0.676,2,-3.442,1,0.0263,0.0807,0,0.0831,0.273,113.98,4,punk
5GorCbAP4aL0EJ16frG2hd,Green Day,Greatest Hits: God's Favorite Band,Boulevard of Broken Dreams,77,262333,TRUE,0.496,0.682,8,-4.095,1,0.0294,0.00552,2.94e-5,0.0589,0.474,167.06,4,punk
3IHHqmfKJHyI0obINUdg1W,Green Day,21st Century Breakdown,21 Guns,51,322040,FALSE,0.26,0.719,5,-4.765,1,0.0364,0.048,0,0.454,0.419,159.072,4,punk
3ZffCQKLFLUvYM59XKLbVm,Green Day,American Idiot,Wake Me up When September Ends,78,285653,FALSE,0.546,0.814,7,-5.146,1,0.0314,0.023,0,0.0972,0.146,104.98,4,punk
2uGos1lTJU2Qd6UpPyRJSP,blink-182,Обратно в клас - rock,I Miss You,4,227813,FALSE,0.652,0.766,11,-6.481,1,0.0345,7.61e-4,6.34e-6,0.0739,0.641,110.011,4,punk
7tYKa4wd7gL5LwcxidBPkG,We The Kings;Elena Coates,Somewhere Somehow,Sad Song (feat. Elena Coats),49,226330,FALSE,0.512,0.526,1,-5.44,1,0.0251,0.0724,0,0.0675,0.249,85.024,4,punk
27pyhbC00sCtwKPhlQtOGe,My Chemical Romance,Timeless Rock Hits,Teenagers,2,161920,FALSE,0.459,0.858,4,-3.063,1,0.0626,0.0506,0,0.184,0.855,111.682,4,punk
1I2I4x0SJcK6ccc6qvw76s,My Chemical Romance,Rock - Best of 2022,The Foundations of Decay,6,360760,FALSE,0.363,0.67,1,-6.652,0,0.0552,5.82e-4,0.548,0.317,0.198,150.15,4,punk
6O5spqMgOR3Hk20NHCAPpC,Paramore,Alternative Rock Mixtape,Ain't It Fun,1,296520,FALSE,0.606,0.893,9,-3.681,1,0.0987,0.154,4.18e-5,0.021,0.671,103.985,4,punk
3CmUas41TD2t8EGNZ85J9f,blink-182,Emo Christmas 2022,"Happy Holidays, You Bastard",2,42440,TRUE,0.409,0.99,11,-2.084,1,0.115,0.02,0,0.513,0.962,172.715,4,punk
3IgHYw4c6PJ5ZZscM1158w,blink-182,12 Days of Christmas 2022,I Won't Be Home For Christmas,1,198093,FALSE,0.347,0.942,7,-5.517,1,0.0913,0.00196,0,0.338,0.66,200.025,4,punk
1jJ893m6WM9aztKtzYmNJY,blink-182,OO's Music Grandi Successi,All The Small Things,1,171066,FALSE,0.442,0.9,0,-5.032,1,0.0529,0.0109,0,0.395,0.609,148.62,4,punk
5ODvKnZslnCF8klu7w0Vcg,Paramore,Timeless Rock Hits,Misery Business,1,211520,FALSE,0.513,0.906,1,-3.673,1,0.0737,0.00272,8.42e-6,0.113,0.73,173,4,punk
5QycaevmOwueIMWMHuCc2t,My Chemical Romance,Rock Brandneu,The Foundations of Decay,2,360760,FALSE,0.363,0.67,1,-6.652,0,0.0552,5.82e-4,0.548,0.317,0.198,150.15,4,punk
2LGj1sOH9OEN5y1fF3TPoL,The Smiths,Alternative Rock Mixtape,How Soon Is Now?,1,408173,FALSE,0.398,0.93,11,-6.76,1,0.0599,8.54e-4,0.121,0.0874,0.73,190.84,4,punk
4B8ROu7Pp6tbRMzbJQGixj,blink-182,Rock & Halloween,Ghost On The Dance Floor,3,257519,TRUE,0.532,0.969,11,-3.967,1,0.0581,2.41e-5,0.0265,0.0912,0.547,103.511,4,punk
